transactionID,accountID,type,operation,amount,balance,bank,date
695247,A00002378,Credit,Credit in Cash,700,700,,1/1/1993
171812,A00000576,Credit,Credit in Cash,900,900,,1/1/1993
207264,A00000704,Credit,Credit in Cash,1000,1000,,1/1/1993
1117247,A00003818,Credit,Credit in Cash,600,600,,1/1/1993
579373,A00001972,Credit,Credit in Cash,400,400,,1/2/1993
771035,A00002632,Credit,Credit in Cash,1100,1100,,1/2/1993
452728,A00001539,Credit,Credit in Cash,600,600,,1/3/1993
725751,A00002484,Credit,Credit in Cash,1100,1100,,1/3/1993
497211,A00001695,Credit,Credit in Cash,200,200,,1/3/1993
232960,A00000793,Credit,Credit in Cash,800,800,,1/3/1993
505240,A00001726,Credit,Credit in Cash,1000,1000,,1/3/1993
144541,A00000485,Credit,Credit in Cash,300,300,,1/4/1993
637741,A00002177,Credit,Credit in Cash,800,800,,1/4/1993
689827,A00002357,Credit,Credit in Cash,800,800,,1/4/1993
846006,A00002881,Credit,Credit in Cash,700,700,,1/4/1993
637742,A00002177,Credit,Collection from Another Bank,5123,5923,YZ,1/5/1993
2908688,A00009635,Credit,Credit in Cash,400,400,,1/5/1993
232961,A00000793,Credit,Collection from Another Bank,3401,4201,IJ,1/5/1993
192096,A00000652,Credit,Credit in Cash,700,700,,1/5/1993
542215,A00001844,Credit,Credit in Cash,500,500,,1/6/1993
565654,A00001926,Credit,Credit in Cash,700,700,,1/6/1993
542216,A00001844,Credit,Collection from Another Bank,3242,3742,ST,1/7/1993
1027725,A00003510,Credit,Credit in Cash,500,500,,1/7/1993
374589,A00001276,Credit,Credit in Cash,400,400,,1/7/1993
579374,A00001972,Credit,Collection from Another Bank,5298,5698,,1/7/1993
699220,A00002393,Credit,Credit in Cash,900,900,,1/7/1993
129502,A00000435,Credit,Credit in Cash,400,400,,1/8/1993
374590,A00001276,Credit,Credit in Cash,6774,7174,,1/8/1993
57433,A00000192,Credit,Credit in Cash,300,300,,1/8/1993
497212,A00001695,Credit,Credit in Cash,11832,12032,,1/8/1993
621760,A00002122,Credit,Credit in Cash,300,300,,1/8/1993
