dispositionID,clientID,accountID,dispositionType
1,C00000001,A00000001,OWNER
2,C00000002,A00000002,OWNER
3,C00000003,A00000002,DISPONENT
4,C00000004,A00000003,OWNER
5,C00000005,A00000003,DISPONENT
6,C00000006,A00000004,OWNER
7,C00000007,A00000005,OWNER
8,C00000008,A00000006,OWNER
9,C00000009,A00000007,OWNER
10,C00000010,A00000008,OWNER
11,C00000011,A00000008,DISPONENT
12,C00000012,A00000009,OWNER
13,C00000013,A00000010,OWNER
14,C00000014,A00000011,OWNER
15,C00000015,A00000012,OWNER
16,C00000016,A00000012,DISPONENT
17,C00000017,A00000013,OWNER
18,C00000018,A00000013,DISPONENT
19,C00000019,A00000014,OWNER
20,C00000020,A00000015,OWNER
21,C00000021,A00000016,OWNER
22,C00000022,A00000017,OWNER
23,C00000023,A00000017,DISPONENT
24,C00000024,A00000018,OWNER
25,C00000025,A00000019,OWNER
26,C00000026,A00000020,OWNER
27,C00000027,A00000021,OWNER
28,C00000028,A00000022,OWNER
29,C00000029,A00000023,OWNER
30,C00000030,A00000024,OWNER
31,C00000031,A00000025,OWNER
32,C00000032,A00000026,OWNER
33,C00000033,A00000027,OWNER
36,C00000036,A00000029,OWNER
37,C00000037,A00000029,DISPONENT
38,C00000038,A00000030,OWNER
39,C00000039,A00000031,OWNER
40,C00000040,A00000032,OWNER
41,C00000041,A00000033,OWNER
42,C00000042,A00000034,OWNER
43,C00000043,A00000035,OWNER
44,C00000044,A00000036,OWNER
45,C00000045,A00000037,OWNER
46,C00000046,A00000038,OWNER
47,C00000047,A00000039,OWNER
48,C00000048,A00000040,OWNER
49,C00000049,A00000041,OWNER
50,C00000050,A00000042,OWNER
51,C00000051,A00000043,OWNER
52,C00000052,A00000044,OWNER
53,C00000053,A00000045,OWNER
55,C00000055,A00000047,OWNER
56,C00000056,A00000048,OWNER
57,C00000057,A00000048,DISPONENT
58,C00000058,A00000049,OWNER
59,C00000059,A00000050,OWNER
60,C00000060,A00000051,OWNER
61,C00000061,A00000052,OWNER
62,C00000062,A00000053,OWNER
63,C00000063,A00000054,OWNER
64,C00000064,A00000055,OWNER
65,C00000065,A00000056,OWNER
66,C00000066,A00000057,OWNER
67,C00000067,A00000058,OWNER
68,C00000068,A00000059,OWNER
70,C00000070,A00000061,OWNER
71,C00000071,A00000061,DISPONENT
72,C00000072,A00000062,OWNER
73,C00000073,A00000063,OWNER
74,C00000074,A00000063,DISPONENT
75,C00000075,A00000064,OWNER
76,C00000076,A00000065,OWNER
77,C00000077,A00000066,OWNER
78,C00000078,A00000067,OWNER
79,C00000079,A00000068,OWNER
80,C00000080,A00000069,OWNER
81,C00000081,A00000070,OWNER
82,C00000082,A00000070,DISPONENT
83,C00000083,A00000071,OWNER
84,C00000084,A00000071,DISPONENT
85,C00000085,A00000072,OWNER
86,C00000086,A00000072,DISPONENT
87,C00000087,A00000073,OWNER
89,C00000089,A00000075,OWNER
90,C00000090,A00000076,OWNER
91,C00000091,A00000077,OWNER
92,C00000092,A00000078,OWNER
93,C00000093,A00000079,OWNER
94,C00000094,A00000080,OWNER
95,C00000095,A00000080,DISPONENT
96,C00000096,A00000081,OWNER
97,C00000097,A00000082,OWNER
98,C00000098,A00000083,OWNER
99,C00000099,A00000083,DISPONENT
100,C00000100,A00000084,OWNER
101,C00000101,A00000085,OWNER
102,C00000102,A00000086,OWNER
103,C00000103,A00000086,DISPONENT
105,C00000105,A00000088,OWNER
106,C00000106,A00000089,OWNER
107,C00000107,A00000090,OWNER
108,C00000108,A00000091,OWNER
110,C00000110,A00000093,OWNER
112,C00000112,A00000095,OWNER
113,C00000113,A00000095,DISPONENT
114,C00000114,A00000096,OWNER
115,C00000115,A00000096,DISPONENT
116,C00000116,A00000097,OWNER
117,C00000117,A00000097,DISPONENT
118,C00000118,A00000098,OWNER
119,C00000119,A00000098,DISPONENT
120,C00000120,A00000099,OWNER
121,C00000121,A00000100,OWNER
122,C00000122,A00000101,OWNER
123,C00000123,A00000102,OWNER
124,C00000124,A00000103,OWNER
125,C00000125,A00000104,OWNER
126,C00000126,A00000104,DISPONENT
127,C00000127,A00000105,OWNER
128,C00000128,A00000106,OWNER
129,C00000129,A00000107,OWNER
130,C00000130,A00000108,OWNER
131,C00000131,A00000109,OWNER
132,C00000132,A00000110,OWNER
134,C00000134,A00000112,OWNER
135,C00000135,A00000112,DISPONENT
136,C00000136,A00000113,OWNER
137,C00000137,A00000114,OWNER
138,C00000138,A00000115,OWNER
139,C00000139,A00000116,OWNER
140,C00000140,A00000116,DISPONENT
141,C00000141,A00000117,OWNER
142,C00000142,A00000118,OWNER
143,C00000143,A00000119,OWNER
144,C00000144,A00000120,OWNER
145,C00000145,A00000121,OWNER
146,C00000146,A00000122,OWNER
147,C00000147,A00000123,OWNER
148,C00000148,A00000123,DISPONENT
149,C00000149,A00000124,OWNER
150,C00000150,A00000125,OWNER
151,C00000151,A00000126,OWNER
152,C00000152,A00000127,OWNER
153,C00000153,A00000128,OWNER
154,C00000154,A00000129,OWNER
155,C00000155,A00000129,DISPONENT
156,C00000156,A00000130,OWNER
157,C00000157,A00000131,OWNER
158,C00000158,A00000132,OWNER
159,C00000159,A00000132,DISPONENT
160,C00000160,A00000133,OWNER
161,C00000161,A00000134,OWNER
162,C00000162,A00000135,OWNER
163,C00000163,A00000136,OWNER
164,C00000164,A00000137,OWNER
165,C00000165,A00000138,OWNER
166,C00000166,A00000138,DISPONENT
167,C00000167,A00000139,OWNER
168,C00000168,A00000140,OWNER
169,C00000169,A00000141,OWNER
170,C00000170,A00000141,DISPONENT
171,C00000171,A00000142,OWNER
172,C00000172,A00000142,DISPONENT
173,C00000173,A00000143,OWNER
174,C00000174,A00000144,OWNER
175,C00000175,A00000145,OWNER
176,C00000176,A00000146,OWNER
178,C00000178,A00000148,OWNER
179,C00000179,A00000149,OWNER
180,C00000180,A00000150,OWNER
181,C00000181,A00000151,OWNER
182,C00000182,A00000151,DISPONENT
183,C00000183,A00000152,OWNER
184,C00000184,A00000152,DISPONENT
185,C00000185,A00000153,OWNER
186,C00000186,A00000154,OWNER
187,C00000187,A00000155,OWNER
188,C00000188,A00000156,OWNER
189,C00000189,A00000157,OWNER
190,C00000190,A00000158,OWNER
191,C00000191,A00000158,DISPONENT
192,C00000192,A00000159,OWNER
193,C00000193,A00000160,OWNER
194,C00000194,A00000161,OWNER
195,C00000195,A00000162,OWNER
196,C00000196,A00000162,DISPONENT
197,C00000197,A00000163,OWNER
198,C00000198,A00000164,OWNER
199,C00000199,A00000165,OWNER
200,C00000200,A00000165,DISPONENT
201,C00000201,A00000166,OWNER
202,C00000202,A00000167,OWNER
203,C00000203,A00000168,OWNER
204,C00000204,A00000168,DISPONENT
205,C00000205,A00000169,OWNER
206,C00000206,A00000170,OWNER
207,C00000207,A00000171,OWNER
208,C00000208,A00000172,OWNER
209,C00000209,A00000172,DISPONENT
210,C00000210,A00000173,OWNER
211,C00000211,A00000173,DISPONENT
212,C00000212,A00000174,OWNER
215,C00000215,A00000176,OWNER
216,C00000216,A00000177,OWNER
217,C00000217,A00000178,OWNER
218,C00000218,A00000179,OWNER
219,C00000219,A00000180,OWNER
221,C00000221,A00000181,OWNER
222,C00000222,A00000182,OWNER
223,C00000223,A00000183,OWNER
224,C00000224,A00000184,OWNER
225,C00000225,A00000185,OWNER
226,C00000226,A00000186,OWNER
227,C00000227,A00000187,OWNER
228,C00000228,A00000188,OWNER
229,C00000229,A00000189,OWNER
230,C00000230,A00000190,OWNER
231,C00000231,A00000191,OWNER
232,C00000232,A00000192,OWNER
233,C00000233,A00000193,OWNER
234,C00000234,A00000193,DISPONENT
235,C00000235,A00000194,OWNER
236,C00000236,A00000195,OWNER
237,C00000237,A00000195,DISPONENT
238,C00000238,A00000196,OWNER
239,C00000239,A00000197,OWNER
240,C00000240,A00000198,OWNER
241,C00000241,A00000199,OWNER
242,C00000242,A00000200,OWNER
243,C00000243,A00000201,OWNER
246,C00000246,A00000204,OWNER
247,C00000247,A00000205,OWNER
248,C00000248,A00000206,OWNER
249,C00000249,A00000206,DISPONENT
250,C00000250,A00000207,OWNER
251,C00000251,A00000208,OWNER
252,C00000252,A00000209,OWNER
253,C00000253,A00000210,OWNER
254,C00000254,A00000211,OWNER
255,C00000255,A00000212,OWNER
256,C00000256,A00000213,OWNER
257,C00000257,A00000214,OWNER
258,C00000258,A00000214,DISPONENT
259,C00000259,A00000215,OWNER
260,C00000260,A00000215,DISPONENT
261,C00000261,A00000216,OWNER
262,C00000262,A00000217,OWNER
263,C00000263,A00000218,OWNER
264,C00000264,A00000219,OWNER
265,C00000265,A00000220,OWNER
266,C00000266,A00000221,OWNER
267,C00000267,A00000222,OWNER
268,C00000268,A00000223,OWNER
269,C00000269,A00000224,OWNER
270,C00000270,A00000225,OWNER
271,C00000271,A00000225,DISPONENT
272,C00000272,A00000226,OWNER
273,C00000273,A00000227,OWNER
274,C00000274,A00000228,OWNER
275,C00000275,A00000229,OWNER
276,C00000276,A00000230,OWNER
277,C00000277,A00000230,DISPONENT
278,C00000278,A00000231,OWNER
279,C00000279,A00000231,DISPONENT
280,C00000280,A00000232,OWNER
282,C00000282,A00000234,OWNER
283,C00000283,A00000234,DISPONENT
284,C00000284,A00000235,OWNER
285,C00000285,A00000236,OWNER
286,C00000286,A00000236,DISPONENT
287,C00000287,A00000237,OWNER
288,C00000288,A00000238,OWNER
289,C00000289,A00000239,OWNER
290,C00000290,A00000240,OWNER
291,C00000291,A00000240,DISPONENT
292,C00000292,A00000241,OWNER
293,C00000293,A00000242,OWNER
294,C00000294,A00000243,OWNER
295,C00000295,A00000244,OWNER
296,C00000296,A00000245,OWNER
297,C00000297,A00000246,OWNER
298,C00000298,A00000246,DISPONENT
300,C00000300,A00000248,OWNER
301,C00000301,A00000249,OWNER
302,C00000302,A00000250,OWNER
303,C00000303,A00000251,OWNER
304,C00000304,A00000252,OWNER
305,C00000305,A00000253,OWNER
308,C00000308,A00000255,OWNER
309,C00000309,A00000256,OWNER
310,C00000310,A00000257,OWNER
311,C00000311,A00000258,OWNER
312,C00000312,A00000259,OWNER
313,C00000313,A00000260,OWNER
314,C00000314,A00000260,DISPONENT
315,C00000315,A00000261,OWNER
316,C00000316,A00000262,OWNER
317,C00000317,A00000263,OWNER
318,C00000318,A00000264,OWNER
319,C00000319,A00000265,OWNER
320,C00000320,A00000265,DISPONENT
321,C00000321,A00000266,OWNER
322,C00000322,A00000267,OWNER
323,C00000323,A00000267,DISPONENT
324,C00000324,A00000268,OWNER
325,C00000325,A00000269,OWNER
326,C00000326,A00000270,OWNER
327,C00000327,A00000270,DISPONENT
328,C00000328,A00000271,OWNER
329,C00000329,A00000272,OWNER
330,C00000330,A00000273,OWNER
331,C00000331,A00000274,OWNER
332,C00000332,A00000275,OWNER
333,C00000333,A00000276,OWNER
334,C00000334,A00000277,OWNER
335,C00000335,A00000278,OWNER
336,C00000336,A00000279,OWNER
337,C00000337,A00000279,DISPONENT
338,C00000338,A00000280,OWNER
339,C00000339,A00000281,OWNER
340,C00000340,A00000281,DISPONENT
341,C00000341,A00000282,OWNER
342,C00000342,A00000282,DISPONENT
343,C00000343,A00000283,OWNER
344,C00000344,A00000284,OWNER
345,C00000345,A00000285,OWNER
346,C00000346,A00000285,DISPONENT
347,C00000347,A00000286,OWNER
348,C00000348,A00000286,DISPONENT
349,C00000349,A00000287,OWNER
350,C00000350,A00000288,OWNER
351,C00000351,A00000289,OWNER
352,C00000352,A00000290,OWNER
353,C00000353,A00000291,OWNER
354,C00000354,A00000292,OWNER
355,C00000355,A00000292,DISPONENT
356,C00000356,A00000293,OWNER
357,C00000357,A00000293,DISPONENT
358,C00000358,A00000294,OWNER
359,C00000359,A00000295,OWNER
360,C00000360,A00000296,OWNER
361,C00000361,A00000297,OWNER
362,C00000362,A00000298,OWNER
363,C00000363,A00000298,DISPONENT
364,C00000364,A00000299,OWNER
365,C00000365,A00000300,OWNER
366,C00000366,A00000300,DISPONENT
367,C00000367,A00000301,OWNER
368,C00000368,A00000301,DISPONENT
369,C00000369,A00000302,OWNER
370,C00000370,A00000303,OWNER
371,C00000371,A00000304,OWNER
372,C00000372,A00000305,OWNER
373,C00000373,A00000306,OWNER
374,C00000374,A00000307,OWNER
375,C00000375,A00000308,OWNER
376,C00000376,A00000309,OWNER
378,C00000378,A00000311,OWNER
379,C00000379,A00000311,DISPONENT
380,C00000380,A00000312,OWNER
381,C00000381,A00000313,OWNER
382,C00000382,A00000313,DISPONENT
383,C00000383,A00000314,OWNER
384,C00000384,A00000314,DISPONENT
385,C00000385,A00000315,OWNER
386,C00000386,A00000316,OWNER
387,C00000387,A00000317,OWNER
388,C00000388,A00000318,OWNER
389,C00000389,A00000319,OWNER
390,C00000390,A00000320,OWNER
391,C00000391,A00000321,OWNER
392,C00000392,A00000322,OWNER
393,C00000393,A00000322,DISPONENT
394,C00000394,A00000323,OWNER
395,C00000395,A00000323,DISPONENT
396,C00000396,A00000324,OWNER
397,C00000397,A00000325,OWNER
398,C00000398,A00000326,OWNER
399,C00000399,A00000327,OWNER
400,C00000400,A00000328,OWNER
401,C00000401,A00000328,DISPONENT
402,C00000402,A00000329,OWNER
403,C00000403,A00000330,OWNER
404,C00000404,A00000330,DISPONENT
405,C00000405,A00000331,OWNER
406,C00000406,A00000332,OWNER
407,C00000407,A00000333,OWNER
408,C00000408,A00000334,OWNER
409,C00000409,A00000335,OWNER
410,C00000410,A00000336,OWNER
411,C00000411,A00000337,OWNER
412,C00000412,A00000337,DISPONENT
413,C00000413,A00000338,OWNER
414,C00000414,A00000339,OWNER
415,C00000415,A00000339,DISPONENT
416,C00000416,A00000340,OWNER
417,C00000417,A00000340,DISPONENT
418,C00000418,A00000341,OWNER
419,C00000419,A00000342,OWNER
420,C00000420,A00000343,OWNER
421,C00000421,A00000344,OWNER
422,C00000422,A00000345,OWNER
423,C00000423,A00000346,OWNER
424,C00000424,A00000347,OWNER
425,C00000425,A00000348,OWNER
426,C00000426,A00000349,OWNER
427,C00000427,A00000349,DISPONENT
428,C00000428,A00000350,OWNER
429,C00000429,A00000351,OWNER
430,C00000430,A00000352,OWNER
431,C00000431,A00000353,OWNER
432,C00000432,A00000354,OWNER
